"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","94.6% (56)","100% (32)","100% (36)","90.5% (21)","66.7% (3)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","94.6% (56)","100% (32)","100% (36)","90.5% (21)","66.7% (3)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","92.9% (56)","100% (32)","100% (36)","85.7% (21)","66.7% (3)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","92.9% (53)","100% (32)","100% (36)","85.7% (21)","66.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","92.9% (52)","100% (32)","100% (36)","85.7% (20)","66.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","92.9% (52)","100% (32)","100% (36)","85.7% (20)","66.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","89.3% (50)","100% (32)","100% (36)","81% (18)","33.3% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","89.3% (48)","100% (32)","100% (36)","81% (16)","33.3% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","89.3% (47)","100% (32)","100% (36)","81% (15)","33.3% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","87.5% (46)","100% (32)","100% (36)","76.2% (14)","33.3% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
