"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","91.2%","100%","100%","87.5%","75%","NA%","NA%","NA%","NA%"
"2 or more copies","91.2%","100%","100%","87.5%","75%","NA%","NA%","NA%","NA%"
"3 or more copies","86.8%","100%","100%","83.3%","58.3%","NA%","NA%","NA%","NA%"
"4 or more copies","86.8%","100%","100%","83.3%","58.3%","NA%","NA%","NA%","NA%"
"5 or more copies","86.8%","100%","100%","83.3%","58.3%","NA%","NA%","NA%","NA%"
"6 or more copies","86.8%","100%","100%","83.3%","58.3%","NA%","NA%","NA%","NA%"
"7 or more copies","82.4%","100%","97.6%","75%","50%","NA%","NA%","NA%","NA%"
"8 or more copies","77.9%","100%","97.6%","75%","25%","NA%","NA%","NA%","NA%"
"9 or more copies","75%","100%","97.6%","70.8%","16.7%","NA%","NA%","NA%","NA%"
"10 or more copies","73.5%","100%","97.6%","70.8%","8.33%","NA%","NA%","NA%","NA%"
