"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","98.4%","100%","100%","97.1%","100%","NA%","NA%","NA%","NA%"
"2 or more copies","97.5%","100%","100%","95.7%","100%","NA%","NA%","NA%","NA%"
"3 or more copies","94.2%","100%","97.3%","91.4%","83.3%","NA%","NA%","NA%","NA%"
"4 or more copies","90.9%","100%","97.3%","85.7%","83.3%","NA%","NA%","NA%","NA%"
"5 or more copies","88.4%","100%","97.3%","82.9%","66.7%","NA%","NA%","NA%","NA%"
"6 or more copies","87.6%","100%","97.3%","81.4%","66.7%","NA%","NA%","NA%","NA%"
"7 or more copies","84.3%","100%","94.6%","75.7%","66.7%","NA%","NA%","NA%","NA%"
"8 or more copies","83.5%","100%","94.6%","74.3%","66.7%","NA%","NA%","NA%","NA%"
"9 or more copies","79.3%","100%","93.2%","70%","33.3%","NA%","NA%","NA%","NA%"
"10 or more copies","78.5%","100%","93.2%","68.6%","33.3%","NA%","NA%","NA%","NA%"
