"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","99.1%","100%","100%","98.5%","100%","NA%","NA%","NA%","NA%"
"2 or more copies","98.3%","100%","100%","97%","100%","NA%","NA%","NA%","NA%"
"3 or more copies","95.7%","100%","97.2%","92.5%","100%","NA%","NA%","NA%","NA%"
"4 or more copies","92.2%","100%","97.2%","86.6%","100%","NA%","NA%","NA%","NA%"
"5 or more copies","89.7%","100%","97.2%","83.6%","83.3%","NA%","NA%","NA%","NA%"
"6 or more copies","88.8%","100%","97.2%","83.6%","66.7%","NA%","NA%","NA%","NA%"
"7 or more copies","85.3%","100%","94.4%","77.6%","66.7%","NA%","NA%","NA%","NA%"
"8 or more copies","84.5%","100%","94.4%","76.1%","66.7%","NA%","NA%","NA%","NA%"
"9 or more copies","81%","100%","93.1%","73.1%","33.3%","NA%","NA%","NA%","NA%"
"10 or more copies","81%","100%","93.1%","73.1%","33.3%","NA%","NA%","NA%","NA%"
