"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.9496,1,1,0.9714,0.7917,NA,NA,NA,NA
"2 or more copies",0.9209,1,1,0.9571,0.6667,NA,NA,NA,NA
"3 or more copies",0.8849,1,0.973,0.9143,0.5833,NA,NA,NA,NA
"4 or more copies",0.8417,1,0.973,0.8571,0.5,NA,NA,NA,NA
"5 or more copies",0.8058,1,0.973,0.8286,0.375,NA,NA,NA,NA
"6 or more copies",0.7842,1,0.973,0.8143,0.2917,NA,NA,NA,NA
"7 or more copies",0.7554,1,0.9459,0.7571,0.2917,NA,NA,NA,NA
"8 or more copies",0.7482,1,0.9459,0.7429,0.2917,NA,NA,NA,NA
"9 or more copies",0.7122,1,0.9324,0.7,0.2083,NA,NA,NA,NA
"10 or more copies",0.6978,1,0.9324,0.6857,0.1667,NA,NA,NA,NA
