"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.84,0.9688,0.9756,0.8696,0.6,NA,NA,NA,NA
"2 or more copies",0.8,0.9062,0.9268,0.8696,0.55,NA,NA,NA,NA
"3 or more copies",0.76,0.9062,0.9024,0.7826,0.5,NA,NA,NA,NA
"4 or more copies",0.76,0.9062,0.9024,0.7826,0.5,NA,NA,NA,NA
"5 or more copies",0.76,0.9062,0.9024,0.7826,0.5,NA,NA,NA,NA
"6 or more copies",0.76,0.9062,0.9024,0.7826,0.5,NA,NA,NA,NA
"7 or more copies",0.7067,0.875,0.8537,0.6957,0.45,NA,NA,NA,NA
"8 or more copies",0.6667,0.875,0.8537,0.6957,0.3,NA,NA,NA,NA
"9 or more copies",0.6533,0.875,0.8537,0.6522,0.3,NA,NA,NA,NA
"10 or more copies",0.6533,0.875,0.8537,0.6522,0.3,NA,NA,NA,NA
