"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","89.2% (65)","100% (32)","100% (36)","90.5% (21)","58.3% (12)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","89.2% (59)","100% (32)","100% (36)","90.5% (21)","58.3% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","84.6% (56)","100% (32)","100% (36)","85.7% (21)","41.7% (3)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","84.6% (53)","100% (32)","100% (36)","85.7% (21)","41.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","84.6% (52)","100% (32)","100% (36)","85.7% (20)","41.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","84.6% (52)","100% (32)","100% (36)","85.7% (20)","41.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","80% (50)","100% (32)","100% (36)","81% (18)","25% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","78.5% (48)","100% (32)","100% (36)","81% (16)","16.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","76.9% (47)","100% (32)","100% (36)","81% (15)","8.33% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","75.4% (46)","100% (32)","100% (36)","76.2% (14)","8.33% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
